doc_id,source,title,topic,text,retrieval_text
ART_0,constitution,Preamble,Constitution,"WE, THE PEOPLE OF INDIA, having solemnly resolved to constitute India into a SOVEREIGN SOCIALIST SECULAR DEMOCRATIC REPUBLIC and to secure to all its citizens: JUSTICE, social, economic and political; LIBERTY of thought, expression, belief, faith and worship;
EQUALITY of status and of opportunity; and to promote among them all FRATERNITY assuring the dignity of the individual and the unity and integrity of the Nation; IN OUR CONSTITUENT ASSEMBLY this twenty-sixth day of November, 1949, do HEREBY ADOPT, ENACT AND GIVE TO OURSELVES THIS CONSTITUTION","Preamble Constitution WE, THE PEOPLE OF INDIA, having solemnly resolved to constitute India into a SOVEREIGN SOCIALIST SECULAR DEMOCRATIC REPUBLIC and to secure to all its citizens: JUSTICE, social, economic and political; LIBERTY of thought, expression, belief, faith and worship;
EQUALITY of status and of opportunity; and to promote among them all FRATERNITY assuring the dignity of the individual and the unity and integrity of the Nation; IN OUR CONSTITUENT ASSEMBLY this twenty-sixth day of November, 1949, do HEREBY ADOPT, ENACT AND GIVE TO OURSELVES THIS CONSTITUTION"
ART_1,constitution,Name and territory of the Union,Constitution,"(1) India, that is Bharat, shall be a Union of States.

 

(2) The States and the territories thereof shall be as specified in the First Schedule.

 

(3) The territory of India shall comprise —

(a) the territories of the States;

(b) the Union territories specified in the First Schedule; and

(c) such other territories as may be acquired.
","Name and territory of the Union Constitution (1) India, that is Bharat, shall be a Union of States.

 

(2) The States and the territories thereof shall be as specified in the First Schedule.

 

(3) The territory of India shall comprise —

(a) the territories of the States;

(b) the Union territories specified in the First Schedule; and

(c) such other territories as may be acquired.
"
ART_2,constitution,Admission or establishment of new States,Constitution,"Parliament may by law admit into the Union, or establish, new States on such terms and conditions as it thinks fit.
","Admission or establishment of new States Constitution Parliament may by law admit into the Union, or establish, new States on such terms and conditions as it thinks fit.
"
ART_3,constitution,"Formation of new States and alteration of areas, boundaries or names of existing States",Constitution,"Parliament may by law—

(a) form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State;

(b) increase the area of any State;

(c) diminish the area of any State;

(d) alter the boundaries of any State;

(e) alter the name of any State:

 

Provided that no Bill for the purpose shall be introduced in either House of Parliament except on the recommendation of the President and unless, where the proposal contained in the Bill affects the area, boundaries or name of any of the States, the Bill has been referred by the President to the Legislature of that State for expressing its views thereon within such period as may be specified in the reference or within such further period as the President may allow and the period so specified or allowed has expired.

 

Explanation I.—In this article, in clauses (a) to (e), ""State'' includes a Union territory, but in the proviso, ""State'' does not include a Union territory.

 

Explanation II.—The power conferred on Parliament by clause (a) includes the power to form a new State or Union territory by uniting a part of any State or Union territory to any other State or Union territory.
","Formation of new States and alteration of areas, boundaries or names of existing States Constitution Parliament may by law—

(a) form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State;

(b) increase the area of any State;

(c) diminish the area of any State;

(d) alter the boundaries of any State;

(e) alter the name of any State:

 

Provided that no Bill for the purpose shall be introduced in either House of Parliament except on the recommendation of the President and unless, where the proposal contained in the Bill affects the area, boundaries or name of any of the States, the Bill has been referred by the President to the Legislature of that State for expressing its views thereon within such period as may be specified in the reference or within such further period as the President may allow and the period so specified or allowed has expired.

 

Explanation I.—In this article, in clauses (a) to (e), ""State'' includes a Union territory, but in the proviso, ""State'' does not include a Union territory.

 

Explanation II.—The power conferred on Parliament by clause (a) includes the power to form a new State or Union territory by uniting a part of any State or Union territory to any other State or Union territory.
"
ART_4,constitution,"Laws made under articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, incidental and consequential matters",Constitution," (1) Any law referred to in article 2 or article 3 shall contain such provisions for the amendment of the First Schedule and the Fourth Schedule as may be necessary to give effect to the provisions of the law and may also contain such supplemental, incidental and consequential provisions (including provisions as to representation in Parliament and in the Legislature or Legislatures of the State or States affected by such law) as Parliament may deem necessary.

 

(2) No such law as aforesaid shall be deemed to be an amendment of this Constitution for the purposes of article 368.
","Laws made under articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, incidental and consequential matters Constitution  (1) Any law referred to in article 2 or article 3 shall contain such provisions for the amendment of the First Schedule and the Fourth Schedule as may be necessary to give effect to the provisions of the law and may also contain such supplemental, incidental and consequential provisions (including provisions as to representation in Parliament and in the Legislature or Legislatures of the State or States affected by such law) as Parliament may deem necessary.

 

(2) No such law as aforesaid shall be deemed to be an amendment of this Constitution for the purposes of article 368.
"
ART_5,constitution,Citizenship at the commencement of the Constitution,Constitution,"At the commencement of this Constitution, every person who has his domicile in the territory of India and —

       

        (a) who was born in the territory of India; or

        (b) either of whose parents was born in the territory of India; or

        (c) who has been ordinarily resident in the territory of India for not less than five years immediately preceding such commencement,

 

shall be a citizen of India.
","Citizenship at the commencement of the Constitution Constitution At the commencement of this Constitution, every person who has his domicile in the territory of India and —

       

        (a) who was born in the territory of India; or

        (b) either of whose parents was born in the territory of India; or

        (c) who has been ordinarily resident in the territory of India for not less than five years immediately preceding such commencement,

 

shall be a citizen of India.
"
ART_6,constitution,Rights of citizenship of certain persons who have migrated to India from Pakistan,Constitution,"Notwithstanding anything in article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencement of this Constitution if —

 

      (a) he or either of his parents or any of his grandparents was born in India as defined in the Government of India Act, 1935 (as originally enacted); and

   

      (b)  (i) in the case where such person has so migrated before the nineteenth day of July, 1948, he has been ordinarily resident in the territory of India since the date of his migration, or

         

            (ii) in the case where such person has so migrated on or after the nineteenth day of July, 1948, he has been registered as a citizen of India by an officer appointed in that behalf by the Government      of the Dominion of India on an application made by him therefor to such officer before the commencement of this Constitution in the form and manner prescribed by that Government:

 

Provided that no person shall be so registered unless he has been resident in the territory of India for at least six months immediately preceding the date of his application.
","Rights of citizenship of certain persons who have migrated to India from Pakistan Constitution Notwithstanding anything in article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencement of this Constitution if —

 

      (a) he or either of his parents or any of his grandparents was born in India as defined in the Government of India Act, 1935 (as originally enacted); and

   

      (b)  (i) in the case where such person has so migrated before the nineteenth day of July, 1948, he has been ordinarily resident in the territory of India since the date of his migration, or

         

            (ii) in the case where such person has so migrated on or after the nineteenth day of July, 1948, he has been registered as a citizen of India by an officer appointed in that behalf by the Government      of the Dominion of India on an application made by him therefor to such officer before the commencement of this Constitution in the form and manner prescribed by that Government:

 

Provided that no person shall be so registered unless he has been resident in the territory of India for at least six months immediately preceding the date of his application.
"
ART_7,constitution,Rights of citizenship of certain migrants to Pakistan,Constitution,"Notwithstanding anything in articles 5 and 6, a person who has after the first day of March, 1947, migrated from the territory of India to the territory now included in Pakistan shall not be deemed to be a citizen of India:

 

Provided that nothing in this article shall apply to a person who, after having so migrated to the territory now included in Pakistan, has returned to the territory of India under a permit for resettlement or permanent return issued by or under the authority of any law and every such person shall for the purposes of clause (b) of article 6 be deemed to have migrated to the territory of India after the nineteenth day of July, 1948.
","Rights of citizenship of certain migrants to Pakistan Constitution Notwithstanding anything in articles 5 and 6, a person who has after the first day of March, 1947, migrated from the territory of India to the territory now included in Pakistan shall not be deemed to be a citizen of India:

 

Provided that nothing in this article shall apply to a person who, after having so migrated to the territory now included in Pakistan, has returned to the territory of India under a permit for resettlement or permanent return issued by or under the authority of any law and every such person shall for the purposes of clause (b) of article 6 be deemed to have migrated to the territory of India after the nineteenth day of July, 1948.
"
ART_8,constitution,Rights of citizenship of certain persons of Indian origin residing outside India,Constitution," 

Notwithstanding anything in article 5, any person who or either of whose parents or any of whose grandparents was born in India as defined in the Government of India Act, 1935 (as originally enacted), and who is ordinarily residing in any country outside India as so defined shall be deemed to be a citizen of India if he has been registered as a citizen of India by the diplomatic or consular representative of India in the country where he is for the time being residing on an application made by him therefor to such diplomatic or consular representative, whether before or after the commencement of this Constitution, in the form and manner prescribed by the Government of the Dominion of India or the Government of India
","Rights of citizenship of certain persons of Indian origin residing outside India Constitution  

Notwithstanding anything in article 5, any person who or either of whose parents or any of whose grandparents was born in India as defined in the Government of India Act, 1935 (as originally enacted), and who is ordinarily residing in any country outside India as so defined shall be deemed to be a citizen of India if he has been registered as a citizen of India by the diplomatic or consular representative of India in the country where he is for the time being residing on an application made by him therefor to such diplomatic or consular representative, whether before or after the commencement of this Constitution, in the form and manner prescribed by the Government of the Dominion of India or the Government of India
"
ART_9,constitution,Persons voluntarily acquiring citizenship of a foreign State not to be citizens,Constitution,"No person shall be a citizen of India by virtue of article 5, or be deemed to be a citizen of India by virtue of article 6 or article 8, if he has voluntarily acquired the citizenship of any foreign State.
","Persons voluntarily acquiring citizenship of a foreign State not to be citizens Constitution No person shall be a citizen of India by virtue of article 5, or be deemed to be a citizen of India by virtue of article 6 or article 8, if he has voluntarily acquired the citizenship of any foreign State.
"
ART_10,constitution,Continuance of the rights of citizenship,Constitution,"Every person who is or is deemed to be a citizen of India under any of the foregoing provisions of this Part shall, subject to the provisions of any law that may be made by Parliament, continue to be such citizen.
","Continuance of the rights of citizenship Constitution Every person who is or is deemed to be a citizen of India under any of the foregoing provisions of this Part shall, subject to the provisions of any law that may be made by Parliament, continue to be such citizen.
"
ART_11,constitution,Parliament to regulate the right of citizenship by law,Constitution,"Nothing in the foregoing provisions of this Part shall derogate from the power of Parliament to make any provision with respect to the acquisition and termination of citizenship and all other matters relating to citizenship
","Parliament to regulate the right of citizenship by law Constitution Nothing in the foregoing provisions of this Part shall derogate from the power of Parliament to make any provision with respect to the acquisition and termination of citizenship and all other matters relating to citizenship
"
ART_12,constitution,Definitions,Constitution,"In this Part, unless the context otherwise requires, “the State’’ includes the Government and Parliament of India and the Government and the Legislature of each of the States and all local or other authorities within the territory of India or under the control of the Government of India
","Definitions Constitution In this Part, unless the context otherwise requires, “the State’’ includes the Government and Parliament of India and the Government and the Legislature of each of the States and all local or other authorities within the territory of India or under the control of the Government of India
"
ART_13,constitution,Laws inconsistent with or in derogation of the fundamental rights,Constitution,"(1) All laws in force in the territory of India immediately before the commencement of this Constitution, in so far as they are inconsistent with the provisions of this Part, shall, to the extent of such inconsistency, be void.

 

(2) The State shall not make any law which takes away or abridges the rights conferred by this Part and any law made in contravention of this clause shall, to the extent of the contravention, be void.

 

(3) In this article, unless the context otherwise requires,—

       (a) “law” includes any Ordinance, order, bye-law, rule, regulation, notification, custom or usage having in the territory of India the force of law;

       (b) “laws in force” includes laws passed or made by a Legislature or other competent authority in the territory of India before the commencement of this Constitution and not previously repealed, notwithstanding that any such law or any part thereof may not be then in operation either at all or in particular areas. 

 

(4) Nothing in this article shall apply to any amendment of this Constitution made under article 368
","Laws inconsistent with or in derogation of the fundamental rights Constitution (1) All laws in force in the territory of India immediately before the commencement of this Constitution, in so far as they are inconsistent with the provisions of this Part, shall, to the extent of such inconsistency, be void.

 

(2) The State shall not make any law which takes away or abridges the rights conferred by this Part and any law made in contravention of this clause shall, to the extent of the contravention, be void.

 

(3) In this article, unless the context otherwise requires,—

       (a) “law” includes any Ordinance, order, bye-law, rule, regulation, notification, custom or usage having in the territory of India the force of law;

       (b) “laws in force” includes laws passed or made by a Legislature or other competent authority in the territory of India before the commencement of this Constitution and not previously repealed, notwithstanding that any such law or any part thereof may not be then in operation either at all or in particular areas. 

 

(4) Nothing in this article shall apply to any amendment of this Constitution made under article 368
"
ART_14,constitution,Equality before law,Constitution,"The State shall not deny to any person equality before the law or the equal protection of the laws within the territory of India.
","Equality before law Constitution The State shall not deny to any person equality before the law or the equal protection of the laws within the territory of India.
"
ART_15,constitution,"Prohibition of discrimination on grounds of religion, race, caste, sex or place of birth",Constitution,"(1) The State shall not discriminate against any citizen on grounds only of religion, race, caste, sex, place of birth or any of them.

 

(2) No citizen shall, on grounds only of religion, race, caste, sex, place of birth or any of them, be subject to any disability, liability, restriction or condition with regard to—

     (a) access to shops, public restaurants, hotels and places of public entertainment; or

     (b) the use of wells, tanks, bathing ghats, roads and places of public resort maintained wholly or partly out of State funds or dedicated to the use of the general public.

 

(3) Nothing in this article shall prevent the State from making any special provision for women and children.

 

(4) Nothing in this article or in clause (2) of article 29 shall prevent the State from making any special provision for the advancement of any socially and educationally backward classes of citizens or for the Scheduled Castes and the Scheduled Tribes.

 

(5) Nothing in this article or in sub-clause (g) of clause (1) of article 19 shall prevent the State from making any special provision, by law, for the advancement of any socially and educationally backward classes of citizens or for the Scheduled Castes or the Scheduled Tribes in so far as such special provisions relate to their admission to educational institutions including private educational institutions, whether aided or unaided by the State, other than the minority educational institutions referred to in clause (1) of article 30.

 

(6) Nothing in this article or sub-clause (g) of clause (1) of article 19 or clause (2) of article 29 shall prevent the State from making,—

     (a) any special provision for the advancement of any economically weaker sections of citizens other than the classes mentioned in clauses (4) and (5); and

     (b) any special provision for the advancement of any economically weaker sections of citizens other than the classes mentioned in clauses (4) and (5) in so far as such special provisions relate to their admission to educational institutions including private educational institutions, whether aided or unaided by the State, other than the minority educational institutions referred to in clause (1) of article 30, which in the case of reservation would be in addition to the existing reservations and subject to a maximum of ten per cent. of the total seats in each category.

     Explanation.—For the purposes of this article and article 16, ""economically weaker sections"" shall be such as may be notified by the State from time to time on the basis of family income and other indicators of economic disadvantage.
","Prohibition of discrimination on grounds of religion, race, caste, sex or place of birth Constitution (1) The State shall not discriminate against any citizen on grounds only of religion, race, caste, sex, place of birth or any of them.

 

(2) No citizen shall, on grounds only of religion, race, caste, sex, place of birth or any of them, be subject to any disability, liability, restriction or condition with regard to—

     (a) access to shops, public restaurants, hotels and places of public entertainment; or

     (b) the use of wells, tanks, bathing ghats, roads and places of public resort maintained wholly or partly out of State funds or dedicated to the use of the general public.

 

(3) Nothing in this article shall prevent the State from making any special provision for women and children.

 

(4) Nothing in this article or in clause (2) of article 29 shall prevent the State from making any special provision for the advancement of any socially and educationally backward classes of citizens or for the Scheduled Castes and the Scheduled Tribes.

 

(5) Nothing in this article or in sub-clause (g) of clause (1) of article 19 shall prevent the State from making any special provision, by law, for the advancement of any socially and educationally backward classes of citizens or for the Scheduled Castes or the Scheduled Tribes in so far as such special provisions relate to their admission to educational institutions including private educational institutions, whether aided or unaided by the State, other than the minority educational institutions referred to in clause (1) of article 30.

 

(6) Nothing in this article or sub-clause (g) of clause (1) of article 19 or clause (2) of article 29 shall prevent the State from making,—

     (a) any special provision for the advancement of any economically weaker sections of citizens other than the classes mentioned in clauses (4) and (5); and

     (b) any special provision for the advancement of any economically weaker sections of citizens other than the classes mentioned in clauses (4) and (5) in so far as such special provisions relate to their admission to educational institutions including private educational institutions, whether aided or unaided by the State, other than the minority educational institutions referred to in clause (1) of article 30, which in the case of reservation would be in addition to the existing reservations and subject to a maximum of ten per cent. of the total seats in each category.

     Explanation.—For the purposes of this article and article 16, ""economically weaker sections"" shall be such as may be notified by the State from time to time on the basis of family income and other indicators of economic disadvantage.
"
